epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7422,1.28256,3.40912,1.44981,0.02521,0.41774,0.11249,0.07793,1.04892,3.78097,1.07833,7.777e-05,7.777e-05,7.777e-05
2,73.2158,1.00708,3.26635,1.24451,0.02425,0.44292,0.11786,0.06907,1.18777,3.77975,1.14506,0.00016335,0.00016335,0.00016335
3,104.06,1.11556,2.98788,1.29012,0.02673,0.47829,0.14447,0.08192,1.31061,3.71231,1.16939,0.000245411,0.000245411,0.000245411
4,135.143,1.13819,2.4947,1.29271,0.03728,0.55896,0.15182,0.08743,1.28774,3.5463,1.14805,0.000323952,0.000323952,0.000323952
5,166.833,1.1371,2.34406,1.34622,0.0428,0.58817,0.15447,0.09071,1.3198,3.45823,1.16922,0.000398973,0.000398973,0.000398973
6,197.529,1.13351,2.15171,1.36592,0.03858,0.56522,0.15453,0.08734,1.38265,3.44175,1.19112,0.000470475,0.000470475,0.000470475
7,250.337,1.15045,2.05464,1.32013,0.28026,0.1518,0.19057,0.11274,1.36973,3.38811,1.20607,0.000538457,0.000538457,0.000538457
8,277.609,1.22421,1.93263,1.32888,0.39202,0.09596,0.16357,0.09049,1.39926,3.35918,1.24234,0.00060292,0.00060292,0.00060292
9,305.009,1.06132,1.87574,1.31662,0.235,0.08416,0.1411,0.07682,1.75273,2.93642,1.46619,0.000663862,0.000663862,0.000663862
10,331.442,1.06563,1.82762,1.32597,0.45612,0.12722,0.23848,0.12707,1.75301,2.78174,1.41889,0.000721286,0.000721286,0.000721286
11,358.655,1.063,1.87911,1.31252,0.36458,0.23006,0.27821,0.15012,1.74559,2.85723,1.39878,0.000775189,0.000775189,0.000775189
12,385.919,1.19537,1.85831,1.33803,0.38328,0.2978,0.31556,0.17818,1.61721,2.86474,1.34039,0.000825573,0.000825573,0.000825573
13,413.724,1.05115,1.81131,1.32681,0.36638,0.3271,0.35985,0.20258,1.55627,2.68163,1.2947,0.000847026,0.000847026,0.000847026
14,442.036,1.02597,1.69765,1.2882,0.47203,0.36997,0.39317,0.21424,1.57983,2.44427,1.30072,0.000825029,0.000825029,0.000825029
15,468.814,1.04085,1.71491,1.26966,0.47589,0.37197,0.39752,0.22445,1.6414,2.42189,1.31105,0.000803031,0.000803031,0.000803031
16,496.219,1.08861,1.72137,1.31503,0.63394,0.3567,0.438,0.24543,1.65045,2.33169,1.31644,0.000781033,0.000781033,0.000781033
17,523.974,1.23301,1.7339,1.33254,0.58851,0.40951,0.46517,0.24201,1.71876,2.17144,1.35828,0.000759035,0.000759035,0.000759035
18,551.867,1.00144,1.6466,1.25445,0.59576,0.4158,0.44415,0.23266,1.81636,2.22742,1.39771,0.000737037,0.000737037,0.000737037
19,579.55,1.06032,1.57571,1.27545,0.48354,0.38615,0.45143,0.25053,1.82519,2.23356,1.42902,0.00071504,0.00071504,0.00071504
20,608.002,1.10561,1.50147,1.2859,0.57421,0.41605,0.46092,0.25811,1.74219,2.14763,1.39538,0.000693042,0.000693042,0.000693042
21,635.141,1.03434,1.50093,1.26064,0.54192,0.46888,0.44515,0.24783,1.61657,2.02873,1.34047,0.000671044,0.000671044,0.000671044
22,662.957,1.04683,1.50352,1.24309,0.65567,0.40918,0.45541,0.25951,1.51347,1.93551,1.29419,0.000649046,0.000649046,0.000649046
23,690.104,1.07411,1.54198,1.22075,0.54973,0.43345,0.47076,0.28192,1.44656,1.871,1.2611,0.000627048,0.000627048,0.000627048
24,718.03,0.89336,1.45957,1.18096,0.48727,0.44963,0.46051,0.29794,1.41745,1.85788,1.25434,0.000605051,0.000605051,0.000605051
25,750.449,0.97949,1.63101,1.27337,0.53999,0.41184,0.46142,0.28921,1.42175,1.88474,1.24097,0.000583053,0.000583053,0.000583053
26,778.821,1.04045,1.41505,1.21838,0.53036,0.40125,0.4566,0.28521,1.43886,1.93714,1.25195,0.000561055,0.000561055,0.000561055
27,808.241,1.0189,1.34486,1.20536,0.48784,0.4552,0.46308,0.28667,1.48908,1.99432,1.29306,0.000539057,0.000539057,0.000539057
28,836.087,0.88722,1.39136,1.19369,0.55528,0.46067,0.47176,0.28397,1.5664,2.12285,1.37485,0.000517059,0.000517059,0.000517059
29,864.072,1.08698,1.38496,1.26902,0.49314,0.45139,0.46909,0.2783,1.56205,2.14386,1.39567,0.000495062,0.000495062,0.000495062
30,891.742,0.9007,1.33936,1.19768,0.44867,0.50235,0.46021,0.27288,1.53904,2.16049,1.38894,0.000473064,0.000473064,0.000473064
31,919.572,0.93435,1.29452,1.15234,0.49108,0.43408,0.43862,0.25849,1.52157,2.18809,1.38487,0.000451066,0.000451066,0.000451066
32,946.997,0.87623,1.28586,1.21779,0.49367,0.42484,0.44331,0.27397,1.4879,2.16835,1.38157,0.000429068,0.000429068,0.000429068
33,975.149,0.95933,1.22786,1.17529,0.63386,0.38154,0.44795,0.27418,1.47056,2.14176,1.36687,0.00040707,0.00040707,0.00040707
34,1002.17,0.991,1.27904,1.20302,0.62206,0.45885,0.46939,0.29153,1.49508,2.11079,1.3656,0.000385073,0.000385073,0.000385073
35,1030.64,0.82702,1.27011,1.16754,0.72323,0.44281,0.48661,0.2832,1.50842,2.08,1.35655,0.000363075,0.000363075,0.000363075
36,1058.79,0.91796,1.24006,1.19071,0.75731,0.46042,0.52568,0.29759,1.50101,1.9622,1.32435,0.000341077,0.000341077,0.000341077
37,1086.55,0.9926,1.22494,1.155,0.69177,0.43632,0.50573,0.29432,1.4517,1.87982,1.29266,0.000319079,0.000319079,0.000319079
38,1114.45,0.903,1.23038,1.19056,0.69161,0.45051,0.51531,0.3051,1.45274,1.8279,1.26963,0.000297081,0.000297081,0.000297081
39,1141.89,0.93499,1.17493,1.18326,0.5219,0.52754,0.51425,0.30721,1.42557,1.77561,1.25036,0.000275084,0.000275084,0.000275084
40,1168.79,0.89666,1.41048,1.23732,0.6483,0.45678,0.51318,0.30973,1.41176,1.78138,1.24238,0.000253086,0.000253086,0.000253086
41,1196.07,0.87491,1.52606,1.13458,0.50029,0.5553,0.5215,0.30196,1.39576,1.78437,1.23214,0.000231088,0.000231088,0.000231088
42,1223.32,0.85166,1.64466,1.18663,0.58391,0.5497,0.53984,0.31044,1.38877,1.79178,1.23419,0.00020909,0.00020909,0.00020909
43,1250.86,0.8937,1.74687,1.20012,0.55986,0.55044,0.52438,0.30664,1.37128,1.81649,1.23165,0.000187092,0.000187092,0.000187092
44,1277.44,0.82981,1.36041,1.13748,0.54285,0.55376,0.52196,0.30296,1.3752,1.81595,1.23465,0.000165095,0.000165095,0.000165095
45,1305.26,0.93405,1.68531,1.27375,0.60951,0.47714,0.532,0.29911,1.3734,1.82657,1.23915,0.000143097,0.000143097,0.000143097
46,1333.49,0.83694,1.41399,1.1566,0.6975,0.44163,0.51829,0.2938,1.3848,1.82565,1.24626,0.000121099,0.000121099,0.000121099
47,1360.91,0.91109,1.49268,1.15355,0.75402,0.40354,0.50928,0.28763,1.41083,1.83856,1.25727,9.91012e-05,9.91012e-05,9.91012e-05
48,1388.08,0.80387,1.40458,1.1555,0.72776,0.42369,0.508,0.29653,1.41317,1.81147,1.25825,7.71034e-05,7.71034e-05,7.71034e-05
49,1415.02,0.81047,1.30331,1.13511,0.7362,0.409,0.51435,0.29761,1.42154,1.81872,1.26033,5.51056e-05,5.51056e-05,5.51056e-05
50,1442.05,0.75914,1.35289,1.12112,0.68909,0.42486,0.51355,0.30125,1.42748,1.80877,1.26321,3.31078e-05,3.31078e-05,3.31078e-05
